Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.19-13.227.26.125-54562-443-6,192.168.0.19,54562,13.227.26.125,443,6,22/10/2021 09:41:49 AM,2833946,3,3,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,8.468756991135328,2.117189247783832,566789.2,1240474.957534492,2785721.0,25.0,2810016.0,1405008.0,1986946.013503638,2809991.0,25.0,2809676.0,1404838.0,1985492.2019615187,2808793.0,883.0,0,0,0,0,96,96,1.058594623891916,1.058594623891916,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571429,2,0,0,1,6,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,3,24,3,0,501,133,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-13.227.26.125-54582-443-6,192.168.0.19,54582,13.227.26.125,443,6,22/10/2021 09:41:50 AM,2810815,3,3,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,8.538448812888788,2.134612203222197,562163.0,1231870.5442945294,2765715.0,29.0,2786744.0,1393372.0,1970484.5676376154,2786715.0,29.0,2789815.0,1394907.5,1971366.329793755,2788874.0,941.0,0,0,0,0,96,96,1.0673061016110985,1.0673061016110985,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571429,2,0,0,1,6,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,3,24,3,0,501,133,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-13.227.5.135-35826-80-6,192.168.0.19,35826,13.227.5.135,80,6,22/10/2021 09:41:50 AM,3075894,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3004349304624931,1025298.0,1716604.052368804,3007461.0,32855.0,3043039.0,3043039.0,0.0,3043039.0,3043039.0,3040316.0,3040316.0,0.0,3040316.0,3040316.0,0,0,0,0,64,64,0.6502174652312466,0.6502174652312466,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,501,131,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-13.227.26.125-54596-443-6,192.168.0.19,54596,13.227.26.125,443,6,22/10/2021 09:41:51 AM,3045049,3,3,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,10.18046015023075,1.9704116419801454,609009.8,1335974.1877932,2998788.0,25.0,3019128.0,1509564.0,2134810.5267311195,3019103.0,25.0,3024734.0,1512367.0,2137647.43913724,3023912.0,822.0,0,0,0,0,96,96,0.9852058209900727,0.9852058209900727,0.0,31.0,4.428571428571429,11.716898663286043,137.28571428571428,2,0,0,1,6,0,0,0,1.0,5.166666666666667,10.333333333333334,0.0,0,0,0,0,0,0,3,31,3,0,501,133,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-13.227.26.106-47268-443-6,192.168.0.19,47268,13.227.26.106,443,6,22/10/2021 09:42:00 AM,74687,5,4,517.0,1428.0,517.0,0.0,103.4,231.2094288734783,1428.0,0.0,357.0,714.0,26042.015344035775,120.50289876417582,9335.875,12355.613350532507,30311.0,38.0,74687.0,18671.75,17574.836791560825,36990.0,2318.0,44317.0,14772.333333333334,17477.77521120275,34083.0,38.0,0,0,0,0,156,136,66.94605486898656,53.55684389518925,0.0,1428.0,194.5,462.8619304573089,214241.16666666666,1,2,1,1,7,0,0,0,0.0,216.11111111111111,103.4,357.0,0,0,0,0,0,0,0,0,0,0,64240,131,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
13.227.26.106-192.168.0.19-443-47268-6,13.227.26.106,443,192.168.0.19,47268,6,22/10/2021 09:42:00 AM,16,1,1,1428.0,0.0,1428.0,1428.0,1428.0,0.0,0.0,0.0,0.0,0.0,8.925E7,125000.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,62500.0,62500.0,0.0,1428.0,952.0,824.4561844027855,679728.0,0,0,1,1,1,0,0,0,1.0,1428.0,1428.0,0.0,0,0,0,0,0,0,0,0,0,0,131,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
13.227.26.106-192.168.0.19-443-47268-6,13.227.26.106,443,192.168.0.19,47268,6,22/10/2021 09:42:00 AM,18,1,1,1428.0,0.0,1428.0,1428.0,1428.0,0.0,0.0,0.0,0.0,0.0,7.933333333333333E7,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,55555.555555555555,55555.555555555555,0.0,1428.0,952.0,824.4561844027855,679728.0,0,0,1,0,1,0,0,0,1.0,1428.0,1428.0,0.0,0,0,0,0,0,0,0,0,0,0,131,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
13.227.26.106-192.168.0.19-443-47268-6,13.227.26.106,443,192.168.0.19,47268,6,22/10/2021 09:42:00 AM,37,1,1,1415.0,0.0,1415.0,1415.0,1415.0,0.0,0.0,0.0,0.0,0.0,3.824324324324325E7,54054.05405405405,37.0,0.0,37.0,37.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,27027.027027027027,27027.027027027027,0.0,1415.0,943.3333333333333,816.9506309033205,667408.3333333334,0,0,1,1,1,0,0,0,1.0,1415.0,1415.0,0.0,0,0,0,0,0,0,0,0,0,0,131,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
13.227.26.106-192.168.0.19-443-47268-6,13.227.26.106,443,192.168.0.19,47268,6,22/10/2021 09:42:00 AM,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,131,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-13.227.5.72-40042-443-6,192.168.0.19,40042,13.227.5.72,443,6,22/10/2021 09:42:00 AM,28557,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.05305179115453,14278.5,20113.652390851345,28501.0,56.0,28557.0,28557.0,0.0,28557.0,28557.0,0,0,0,0,0,0,0,0,0,60,40,70.0353678607697,35.01768393038485,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
