Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.19-54.148.193.69-55758-443-6,192.168.0.19,55758,54.148.193.69,443,6,23/10/2021 11:19:18 AM,141574,3,1,31.0,31.0,31.0,0.0,10.333333333333332,17.8978583448784,31.0,31.0,31.0,0.0,437.93351886645854,28.25377541073926,47191.33333333333,81652.91772088327,141476.0,35.0,141574.0,70787.0,100058.43796502122,141539.0,35.0,0,0,0,0,0,1,0,0,0,84,32,21.190331558054446,7.063443852684815,0.0,31.0,18.6,16.97939928266015,288.30000000000007,1,0,1,2,3,0,0,0,0.0,23.25,10.333333333333334,31.0,0,0,0,0,0,0,0,0,0,0,501,123,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
54.148.193.69-192.168.0.19-443-55758-6,54.148.193.69,443,192.168.0.19,55758,6,23/10/2021 11:19:19 AM,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,99999.99999999999,99999.99999999999,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,123,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
54.148.193.69-192.168.0.19-443-55758-6,54.148.193.69,443,192.168.0.19,55758,6,23/10/2021 11:19:19 AM,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,123,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-200.24.17.25-52464-443-6,192.168.0.19,52464,200.24.17.25,443,6,23/10/2021 11:19:46 AM,1404010,14,10,3050.0,5592.0,1460.0,0.0,217.85714285714292,446.3801169308607,1460.0,0.0,559.1999999999999,716.2972381165051,6155.2268146238275,17.093895342625764,61043.91304347828,209405.39400904413,1012816.0,6.0,1404010.0,108000.76923076923,276366.97484900814,1012816.0,6.0,1363357.0,151484.11111111112,344827.6366797057,1065951.0,43.0,0,0,0,0,300,212,9.97143894986503,7.122456392760736,0.0,1460.0,345.68000000000006,577.7902387545155,333841.56,1,2,1,7,22,0,0,0,0.0,360.0833333333333,217.85714285714286,559.2,0,0,0,4321,5,24915,14,3050,10,5592,64240,43,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52464-6,200.24.17.25,443,192.168.0.19,52464,6,23/10/2021 11:19:47 AM,36,1,1,4380.0,0.0,4380.0,4380.0,4380.0,0.0,0.0,0.0,0.0,0.0,1.2166666666666666E8,55555.555555555555,36.0,0.0,36.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,27777.777777777777,27777.777777777777,0.0,4380.0,2920.0,2528.794179050561,6394800.0,0,0,1,0,1,0,0,0,1.0,4380.0,4380.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52464-6,200.24.17.25,443,192.168.0.19,52464,6,23/10/2021 11:19:47 AM,11,1,1,5840.0,0.0,5840.0,5840.0,5840.0,0.0,0.0,0.0,0.0,0.0,5.3090909090909094E8,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,90909.09090909091,90909.09090909091,0.0,5840.0,3893.333333333333,3371.7255720674148,1.1368533333333334E7,0,0,1,0,1,0,0,0,1.0,5840.0,5840.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52464-6,200.24.17.25,443,192.168.0.19,52464,6,23/10/2021 11:19:47 AM,8,1,1,2920.0,0.0,2920.0,2920.0,2920.0,0.0,0.0,0.0,0.0,0.0,3.65E8,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,125000.0,125000.0,0.0,2920.0,1946.6666666666665,1685.8627860337074,2842133.3333333335,0,0,1,0,1,0,0,0,1.0,2920.0,2920.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-200.24.17.25-52474-443-6,192.168.0.19,52474,200.24.17.25,443,6,23/10/2021 11:19:47 AM,286474,12,8,2559.0,1512.0,1460.0,0.0,213.25000000000006,437.63249941641055,1365.0,0.0,189.0,476.40528964317764,14210.713712239156,69.81436360716853,15077.578947368422,24421.945546113027,83652.0,2.0,286474.0,26043.090909090908,49556.010348805416,164648.0,6.0,235172.0,33596.0,39457.68944916398,110481.0,7.0,0,0,0,0,260,172,41.88861816430112,27.925745442867417,0.0,1460.0,193.8571428571428,432.30548061692275,186888.0285714286,1,2,1,8,18,0,0,0,0.0,203.55,213.25,189.0,0,0,0,4071,9,17466,0,0,0,0,64240,43,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,9,1,1,36.0,0.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,4000000.0,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,111111.11111111111,111111.11111111111,0.0,36.0,24.0,20.784609690826528,432.0,0,0,1,1,1,0,0,0,1.0,36.0,36.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,6,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,2.433333333333333E8,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.66666666666,166666.66666666666,0.0,1460.0,973.3333333333333,842.9313930168537,710533.3333333334,0,0,1,0,1,0,0,0,1.0,1460.0,1460.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,6,1,1,2920.0,0.0,2920.0,2920.0,2920.0,0.0,0.0,0.0,0.0,0.0,4.866666666666666E8,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.66666666666,166666.66666666666,0.0,2920.0,1946.6666666666665,1685.8627860337074,2842133.3333333335,0,0,1,0,1,0,0,0,1.0,2920.0,2920.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,5,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,2.92E8,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,199999.99999999997,199999.99999999997,0.0,1460.0,973.3333333333333,842.9313930168537,710533.3333333334,0,0,1,0,1,0,0,0,1.0,1460.0,1460.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,6,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,2.433333333333333E8,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.66666666666,166666.66666666666,0.0,1460.0,973.3333333333333,842.9313930168537,710533.3333333334,0,0,1,0,1,0,0,0,1.0,1460.0,1460.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,6,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,2.433333333333333E8,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.66666666666,166666.66666666666,0.0,1460.0,973.3333333333333,842.9313930168537,710533.3333333334,0,0,1,0,1,0,0,0,1.0,1460.0,1460.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.17.25-192.168.0.19-443-52474-6,200.24.17.25,443,192.168.0.19,52474,6,23/10/2021 11:19:47 AM,5,1,1,1460.0,0.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,0.0,0.0,2.92E8,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,199999.99999999997,199999.99999999997,0.0,1460.0,973.3333333333333,842.9313930168537,710533.3333333334,0,0,1,0,1,0,0,0,1.0,1460.0,1460.0,0.0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
